Season,Player,Position,Team,Games played,goals,attempt,percentage
79-80,Brian Taylor,G,San Diego Clippers,78,90,239,38%
80-81,Mike Bratz,G,Cleveland Cavaliers,80,57,169,34%
81-82,Don Buse,G,Indiana Pacers,82,78,193,40%
82-83,Mike Dunleavy,G,San Antonio Spurs,79,67,194,35%
83-84,Darrell Griffith,G,Utah Jazz,82,91,252,36%
84-85,Darrell Griffith,G,Utah Jazz,78,92,257,36%
85-86,Larry Bird,F,Boston Celtics,82,82,196,42%
86-87,Larry Bird,F,Boston Celtics,74,90,225,40%
87-88,Danny Ainge,G,Boston Celtics,81,148,357,41%
88-89,Michael Adams,G,Denver Nuggets,77,166,466,36%
89-90,Michael Adams,G,Denver Nuggets,79,158,432,37%
90-91,Vernon Maxwell,G,Houston Rockets,82,172,510,34%
91-92,Vernon Maxwell,G,Houston Rockets,80,162,473,34%
92-93,Reggie Miller,G,Indiana Pacers,82,167,419,40%
93-94,Dan Majerle,G/F,Phoenix Suns,80,192,503,38%
94-95,John Starks,G,New York Knicks,80,217,611,36%
95-96,Dennis Scott,F,Orlando Magic,82,267,628,43%
96-97,Reggie Miller,G,Indiana Pacers,81,229,536,43%
97-98,Wesley Person,G,Cleveland Cavaliers,82,192,447,43%
98-99,Dee Brown,G,Toronto Raptors,49,135,349,39%
99-00,Gary Payton,G,Seattle SuperSonics,82,177,520,34%
00-01,Antoine Walker,F,Boston Celtics,81,221,603,37%
01-02,Ray Allen,G,Milwaukee Bucks,69,229,528,43%
02-03,Ray Allen,G,Milwaukee Bucks  Seattle SuperSonics,76,201,533,38%
03-04,Peja StojakoviÄ‡,F,Sacramento Kings,81,240,554,43%
04-05,Kyle Korver,G/F,Philadelphia 76ers,82,226,558,41%
05-06,Ray Allen,G,Seattle SuperSonics,78,269,653,41%
06-07,Raja Bell,G,Phoenix Suns,78,205,496,41%
07-08,Jason Richardson,G,Charlotte Bobcats,82,243,599,41%
08-09,Rashard Lewis,F,Orlando Magic,79,220,554,40%
09-10,Aaron Brooks,G,Houston Rockets,82,209,525,40%
10-11,Dorell Wright,F,Golden State Warriors,82,194,516,38%
11-12,Ryan Anderson,F,Orlando Magic,61,166,422,39%
12-13,Stephen Curry,G,Golden State Warriors,78,272,600,45%
13-14,Stephen Curry,G,Golden State Warriors,78,261,615,42%
14-15,Stephen Curry,G,Golden State Warriors,80,286,646,44%
15-16,Stephen Curry,G,Golden State Warriors,78,402,886,45%
